symbol,from_date,to_date,init_close,final_close,net_change,pct_change,article_count,ttl_vol
AAL,2020-02-10,2020-03-09,28.7900,14.7500,-14.0400,-0.48766932962834317471,220.0000,481176321.0000
AAPL,2020-02-10,2020-03-09,321.5500,266.1700,-55.3800,-0.17222826932047893018,1036.0000,981499196.0000
ABBV,2020-02-10,2020-03-09,94.7500,85.2700,-9.4800,-0.10005277044854881266,122.0000,228981187.0000
ACB,2020-02-10,2020-03-09,1.5600,0.9490,-0.6110,-0.39166666666666666667,211.0000,564648548.0000
AMD,2020-02-10,2020-03-09,52.2600,43.2700,-8.9900,-0.17202449292001530808,2818.0000,1686883774.0000
AMZN,2020-02-10,2020-03-09,2133.9100,1800.6100,-333.3000,-0.15619215430828854075,944.0000,105458324.0000
APHA,2020-02-10,2020-03-09,4.1000,2.8400,-1.2600,-0.30731707317073170732,82.0000,108851827.0000
ATVI,2020-02-10,2020-03-09,61.6300,57.3500,-4.2800,-0.06944669803667045270,59.0000,142443610.0000
AUY,2020-02-10,2020-03-09,3.9200,3.9100,-0.0100,-0.00255102040816326531,25.0000,570207828.0000
BA,2020-02-10,2020-03-09,342.6300,227.1700,-115.4600,-0.33698158363248985786,1978.0000,150006217.0000
BABA,2020-02-10,2020-03-09,215.7700,197.6600,-18.1100,-0.08393196459192658850,805.0000,373801731.0000
BAC,2020-02-10,2020-03-09,34.4700,21.9300,-12.5400,-0.36379460400348128808,302.0000,1625650148.0000
BILI,2020-02-10,2020-03-09,25.4600,25.1200,-0.3400,-0.01335428122545168892,20.0000,139759348.0000
BRK-B,2020-02-10,2020-03-09,227.1100,193.1300,-33.9800,-0.14961912729514332262,114.0000,139050144.0000
BYND,2020-02-10,2020-03-09,119.7300,87.9600,-31.7700,-0.26534703081934352293,102.0000,147846123.0000
CGC,2020-02-10,2020-03-09,19.0500,13.2200,-5.8300,-0.30603674540682414698,159.0000,148931314.0000
CHK,2020-02-10,2020-03-09,0.5000,0.1573,-0.3427,-0.68540000000000000000,89.0000,2395926865.0000
COST,2020-02-10,2020-03-09,313.7900,301.9800,-11.8100,-0.03763663596672934128,75202.0000,67791487.0000
CPRX,2020-02-10,2020-03-09,4.4600,3.4800,-0.9800,-0.21973094170403587444,0.0000,41830277.0000
CRBP,2020-02-10,2020-03-09,6.2900,4.1900,-2.1000,-0.33386327503974562798,2.0000,23172885.0000
CRM,2020-02-10,2020-03-09,189.1200,151.2100,-37.9100,-0.20045473773265651438,1314.0000,142444005.0000
CRON,2020-02-10,2020-03-09,6.7100,5.2600,-1.4500,-0.21609538002980625931,297.0000,147268182.0000
CRSP,2020-02-10,2020-03-09,56.6200,44.3000,-12.3200,-0.21759095725891910986,27.0000,24767952.0000
CSCO,2020-02-10,2020-03-09,48.8700,37.9600,-10.9100,-0.22324534479230611827,213.0000,756323233.0000
DAL,2020-02-10,2020-03-09,57.3100,43.5200,-13.7900,-0.24062118303960914326,1418.0000,276884951.0000
DBX,2020-02-10,2020-03-09,18.5300,17.6700,-0.8600,-0.04641122504047490556,204.0000,164715606.0000
DIS,2020-02-10,2020-03-09,142.5900,104.3500,-38.2400,-0.26818149940388526545,1063.0000,337159527.0000
DNR,2020-02-10,2020-03-09,0.9400,0.3521,-0.5879,-0.62542553191489361702,141.0000,312294326.0000
ENPH,2020-02-10,2020-03-09,38.6100,43.3800,4.7700,0.1235431235431235,51.0000,188531331.0000
F,2020-02-10,2020-03-09,8.0600,5.9000,-2.1600,-0.26799007444168734491,25027.0000,1725222507.0000
FB,2020-02-10,2020-03-09,213.0600,169.5000,-43.5600,-0.20444945085891298226,1063.0000,396122188.0000
FCEL,2020-02-10,2020-03-09,2.0600,1.5200,-0.5400,-0.26213592233009708738,25.0000,414508882.0000
FIT,2020-02-10,2020-03-09,6.6000,6.2000,-0.4000,-0.06060606060606060606,33914.0000,138002092.0000
GE,2020-02-10,2020-03-09,12.9000,8.2100,-4.6900,-0.36356589147286821705,2105.0000,1595838162.0000
GILD,2020-02-10,2020-03-09,68.9900,73.5200,4.5300,0.0656616901000145,241.0000,486087130.0000
GLUU,2020-02-10,2020-03-09,7.0500,6.1700,-0.8800,-0.12482269503546099291,15.0000,91463474.0000
GM,2020-02-10,2020-03-09,33.8400,24.6900,-9.1500,-0.27039007092198581560,4588.0000,282053473.0000
GOOGL,2020-02-10,2020-03-09,1508.6600,1215.7900,-292.8700,-0.19412591306192250076,357.0000,45425178.0000
GPRO,2020-02-10,2020-03-09,3.9000,3.3300,-0.5700,-0.14615384615384615385,5.0000,102116183.0000
GRPN,2020-02-10,2020-03-09,2.9300,0.9818,-1.9482,-0.66491467576791808874,45.0000,437535983.0000
HEXO,2020-02-10,2020-03-09,1.2700,0.9387,-0.3313,-0.26086614173228346457,70.0000,82465173.0000
INO,2020-02-10,2020-03-09,3.4800,9.8300,6.3500,1.8247126436781609,141.0000,960051035.0000
INTC,2020-02-10,2020-03-09,66.3900,50.8500,-15.5400,-0.23407139629462268414,218.0000,579090126.0000
IQ,2020-02-10,2020-03-09,25.3500,20.0100,-5.3400,-0.21065088757396449704,1289.0000,176501437.0000
JD,2020-02-10,2020-03-09,40.1000,39.9100,-0.1900,-0.00473815461346633416,1402.0000,361632387.0000
KO,2020-02-10,2020-03-09,59.7500,51.8600,-7.8900,-0.13205020920502092050,2187.0000,329726179.0000
LK,2020-02-10,2020-03-09,36.8700,35.9800,-0.8900,-0.02413886628695416328,241.0000,255308939.0000
LLNW,2020-02-10,2020-03-09,5.2100,4.5300,-0.6800,-0.13051823416506717850,3.0000,26443055.0000
LYFT,2020-02-10,2020-03-09,53.7200,32.8100,-20.9100,-0.38924050632911392405,1713.0000,264051482.0000
MJ,2020-02-10,2020-03-09,15.8300,11.7500,-4.0800,-0.25773847125710675932,897.0000,19331531.0000
MRNA,2020-02-10,2020-03-09,23.6500,24.2900,0.6400,0.0270613107822410,637.0000,416572776.0000
MSFT,2020-02-10,2020-03-09,188.1900,150.6200,-37.5700,-0.19963866305329719964,733.0000,1102873227.0000
MU,2020-02-10,2020-03-09,57.3300,45.9700,-11.3600,-0.19815105529391243677,706.0000,593269651.0000
NFLX,2020-02-10,2020-03-09,371.0700,346.4900,-24.5800,-0.06624087099469102865,181.0000,130636858.0000
NIO,2020-02-10,2020-03-09,3.8700,3.2900,-0.5800,-0.14987080103359173127,183.0000,1347366484.0000
NKE,2020-02-10,2020-03-09,99.7400,84.1100,-15.6300,-0.15670743934228995388,110.0000,177048001.0000
NOK,2020-02-10,2020-03-09,4.2600,3.3100,-0.9500,-0.22300469483568075117,186.0000,855862159.0000
NRZ,2020-02-10,2020-03-09,17.2800,14.0700,-3.2100,-0.18576388888888888889,47.0000,132311535.0000
NTDOY,2020-02-10,2020-03-09,46.4000,42.4000,-4.0000,-0.08620689655172413793,7.0000,7036724.0000
NVAX,2020-02-10,2020-03-09,7.0200,10.0200,3.0000,0.4273504273504274,65.0000,194674507.0000
NVDA,2020-02-10,2020-03-09,262.8100,245.4400,-17.3700,-0.06609337544233476656,302.0000,362932360.0000
OGI,2020-02-10,2020-03-09,2.3100,1.7700,-0.5400,-0.23376623376623376623,39.0000,82953854.0000
OPK,2020-02-10,2020-03-09,1.6200,2.2200,0.6000,0.3703703703703704,17.0000,290535655.0000
PCG,2020-02-10,2020-03-09,18.0300,12.6200,-5.4100,-0.30005546311702717693,103.0000,207673307.0000
PENN,2020-02-10,2020-03-09,36.3100,20.4300,-15.8800,-0.43734508399889837510,3173.0000,85488126.0000
PFE,2020-02-10,2020-03-09,37.8100,33.7600,-4.0500,-0.10711451996826236445,132.0000,672299097.0000
PINS,2020-02-10,2020-03-09,24.2900,16.2100,-8.0800,-0.33264717990942774804,1750.0000,303919242.0000
PLUG,2020-02-10,2020-03-09,4.3800,3.9300,-0.4500,-0.10273972602739726027,6955.0000,489156217.0000
PTON,2020-02-10,2020-03-09,28.6000,23.2100,-5.3900,-0.18846153846153846154,40.0000,138622248.0000
PYPL,2020-02-10,2020-03-09,120.0600,101.6300,-18.4300,-0.15350658004331167749,68.0000,178356263.0000
ROKU,2020-02-10,2020-03-09,132.2100,96.2600,-35.9500,-0.27191589138491793359,1296.0000,324497715.0000
S,2020-02-10,2020-03-09,4.8000,8.0600,3.2600,0.6791666666666667,94794.0000,975297976.0000
SBUX,2020-02-10,2020-03-09,87.5300,70.8300,-16.7000,-0.19079172855021135611,144.0000,203562507.0000
SDC,2020-02-10,2020-03-09,14.3800,7.0000,-7.3800,-0.51321279554937413074,103.0000,177385264.0000
SHOP,2020-02-10,2020-03-09,491.6900,418.3200,-73.3700,-0.14922003701519249934,25783.0000,63552640.0000
SIRI,2020-02-10,2020-03-09,7.1900,6.0400,-1.1500,-0.15994436717663421419,1274.0000,563719250.0000
SNAP,2020-02-10,2020-03-09,17.6000,11.4500,-6.1500,-0.34943181818181818182,8047.0000,521781435.0000
SNE,2020-02-10,2020-03-09,70.1700,58.5300,-11.6400,-0.16588285592133390338,90.0000,29320451.0000
SPCE,2020-02-10,2020-03-09,20.5500,19.4400,-1.1100,-0.05401459854014598540,148.0000,809369355.0000
SPHD,2020-02-10,2020-03-09,42.7700,34.8400,-7.9300,-0.18541033434650455927,4.0000,30124202.0000
SPY,2020-02-10,2020-03-09,334.6800,274.2300,-60.4500,-0.18062029401219074937,5706.0000,3236414323.0000
SQ,2020-02-10,2020-03-09,80.1700,65.7300,-14.4400,-0.18011725084196083323,1284.0000,241370816.0000
T,2020-02-10,2020-03-09,38.3400,34.6900,-3.6500,-0.09520083463745435576,39708.0000,884230570.0000
TCEHY,2020-02-10,2020-03-09,51.9600,47.7600,-4.2000,-0.08083140877598152425,27.0000,102131250.0000
TLRY,2020-02-10,2020-03-09,16.0100,7.6700,-8.3400,-0.52092442223610243598,78.0000,72888351.0000
TSLA,2020-02-10,2020-03-09,771.2800,608.0000,-163.2800,-0.21170003111710403485,609.0000,361146140.0000
TWLO,2020-02-10,2020-03-09,125.7100,93.0500,-32.6600,-0.25980431151061968022,31.0000,64805872.0000
TWTR,2020-02-10,2020-03-09,35.9600,32.4600,-3.5000,-0.09733036707452725250,175.0000,447273817.0000
UBER,2020-02-10,2020-03-09,40.0100,28.1700,-11.8400,-0.29592601849537615596,5381.0000,748748637.0000
V,2020-02-10,2020-03-09,205.6900,171.1300,-34.5600,-0.16801983567504497059,26143.0000,244384846.0000
VKTX,2020-02-10,2020-03-09,6.7600,5.4100,-1.3500,-0.19970414201183431953,11.0000,25749523.0000
VOO,2020-02-10,2020-03-09,307.5200,251.8400,-55.6800,-0.18106139438085327784,52.0000,143855409.0000
VSLR,2020-02-10,2020-03-09,9.4900,9.4100,-0.0800,-0.00842992623814541623,18.0000,48539803.0000
VTI,2020-02-10,2020-03-09,169.9500,138.5000,-31.4500,-0.18505442777287437482,43.0000,150920544.0000
VZ,2020-02-10,2020-03-09,60.2400,55.8300,-4.4100,-0.07320717131474103586,146.0000,416518328.0000
WMT,2020-02-10,2020-03-09,115.2500,117.1600,1.9100,0.0165726681127983,279.0000,182470150.0000
WORK,2020-02-10,2020-03-09,26.5400,24.8900,-1.6500,-0.06217030896759608139,227487.0000,294445029.0000
XOM,2020-02-10,2020-03-09,59.9600,41.8600,-18.1000,-0.30186791194129419613,250.0000,637990959.0000
ZM,2020-02-10,2020-03-09,89.6700,113.7500,24.0800,0.2685402029664325,157.0000,209045993.0000
ZNGA,2020-02-10,2020-03-09,6.7900,6.5300,-0.2600,-0.03829160530191458027,15.0000,408443672.0000
